Output[216]: {0.040414,-0.1229}	FIRST SYMBOL	Pass
Output[217]: {-0.311771,0.117324}	FIRST SYMBOL	Pass
Output[218]: {0.182114,0.093723}	FIRST SYMBOL	Pass
Output[219]: {0.035405,-0.26422}	FIRST SYMBOL	Pass
Output[220]: {-0.249683,0.121559}	FIRST SYMBOL	Pass
Output[221]: {0.278608,0.070268}	FIRST SYMBOL	Pass
Output[222]: {-0.184538,-0.223772}	FIRST SYMBOL	Pass
Output[223]: {-0.084498,0.313745}	FIRST SYMBOL	Pass
Output[224]: {0.273402,-0.113944}	FIRST SYMBOL	Pass
Output[225]: {-0.275308,-0.126803}	FIRST SYMBOL	Pass
Output[226]: {0.148539,0.325575}	FIRST SYMBOL	Pass
Output[227]: {0.103853,-0.3656}	FIRST SYMBOL	Pass
Output[228]: {-0.35724,0.167328}	FIRST SYMBOL	Pass
Output[229]: {0.34327,0.105634}	FIRST SYMBOL	Pass
Output[230]: {-0.227983,-0.333345}	FIRST SYMBOL	Pass
Output[231]: {-0.086017,0.394548}	FIRST SYMBOL	Pass
Output[232]: {0.312201,-0.273083}	FIRST SYMBOL	Pass
Output[233]: {-0.457234,0.031029}	FIRST SYMBOL	Pass
Output[234]: {0.358078,0.385666}	FIRST SYMBOL	Pass
Output[235]: {0.007348,-0.475144}	FIRST SYMBOL	Pass
Output[236]: {-0.314504,0.381273}	FIRST SYMBOL	Pass
Output[237]: {0.449808,-0.041776}	FIRST SYMBOL	Pass
Output[238]: {-0.452222,-0.277937}	FIRST SYMBOL	Pass
Output[239]: {0.077283,0.489017}	FIRST SYMBOL	Pass
Output[240]: {0.33607,-0.35417}	FIRST SYMBOL	Pass
Output[241]: {-0.534172,0.111346}	FIRST SYMBOL	Pass
Output[242]: {0.510616,0.239925}	FIRST SYMBOL	Pass
Output[243]: {-0.279127,-0.521344}	FIRST SYMBOL	Pass
Output[244]: {-0.221163,0.602524}	FIRST SYMBOL	Pass
Output[245]: {0.419121,-0.318442}	FIRST SYMBOL	Pass
Output[246]: {-0.571097,-0.147608}	FIRST SYMBOL	Pass
Output[247]: {0.342907,0.45406}	FIRST SYMBOL	Pass
Output[248]: {-0.007419,-0.473649}	FIRST SYMBOL	Pass
Output[249]: {-0.411117,0.350024}	FIRST SYMBOL	Pass
Output[250]: {0.521888,0.011087}	FIRST SYMBOL	Pass
Output[251]: {-0.457972,-0.352131}	FIRST SYMBOL	Pass
Output[252]: {0.147807,0.501043}	FIRST SYMBOL	Pass
Output[253]: {0.306489,-0.46909}	FIRST SYMBOL	Pass
Output[254]: {-0.531409,0.235415}	FIRST SYMBOL	Pass
Output[255]: {0.48869,0.203719}	FIRST SYMBOL	Pass
Output[256]: {-0.186792,-0.531401}	FIRST SYMBOL	Pass
Output[257]: {-0.171245,0.372878}	FIRST SYMBOL	Pass
Output[258]: {0.389842,-0.27242}	FIRST SYMBOL	Pass
Output[259]: {-0.559656,-0.047571}	FIRST SYMBOL	Pass
Output[260]: {0.335176,0.325508}	FIRST SYMBOL	Pass
Output[261]: {0.11345,-0.525352}	FIRST SYMBOL	Pass
Output[262]: {-0.323714,0.367108}	FIRST SYMBOL	Pass
Output[263]: {0.558337,0.002782}	FIRST SYMBOL	Pass
Output[264]: {-0.294832,-0.283469}	FIRST SYMBOL	Pass
Output[265]: {0.075259,0.485069}	FIRST SYMBOL	Pass
Output[266]: {0.275402,-0.375204}	FIRST SYMBOL	Pass
Output[267]: {-0.442608,0.069844}	FIRST SYMBOL	Pass
Output[268]: {0.326147,0.199172}	FIRST SYMBOL	Pass
Output[269]: {-0.148966,-0.356327}	FIRST SYMBOL	Pass
Output[270]: {-0.165507,0.322338}	FIRST SYMBOL	Pass
Output[271]: {0.351271,-0.150479}	FIRST SYMBOL	Pass
Output[272]: {-0.317707,-0.115268}	FIRST SYMBOL	Pass
Output[273]: {0.073351,0.307567}	FIRST SYMBOL	Pass
Output[274]: {0.119565,-0.292972}	FIRST SYMBOL	Pass
Output[275]: {-0.236366,0.08977}	FIRST SYMBOL	Pass
