(0.314913,0.188576)
(-0.10702,-0.398378)
(-0.236495,0.315228)
(0.405832,-0.0241566)
(-0.340182,-0.262753)
(0.0748396,0.457277)
(0.227683,-0.345944)
(-0.501834,0.0842438)
(0.468898,0.361479)
(-0.0252695,-0.567056)
(-0.317159,0.416734)
(0.583661,-0.117064)
(-0.449066,-0.260194)
(0.163781,0.501698)
(0.230733,-0.457629)
(-0.540198,0.112102)
(0.415516,0.205179)
(-0.0529938,-0.428881)
(-0.187136,0.477876)
(0.430595,-0.217626)
(-0.409291,-0.121731)
(0.281998,0.394079)
(0.110083,-0.326941)
(-0.344922,0.284664)
(0.425853,0.0925713)
(-0.175041,-0.222196)
(-0.0750122,0.432254)
(0.230301,-0.117894)
(-0.314775,0.00574684)
(0.169885,0.211099)
(0.0287428,-0.18185)
(-0.135615,0.0825071)
(0.0597267,0.0134726)
(-0.0960608,-0.0712671)
(0.0954037,0.0245094)
(0.010335,-0.0346413)
(0.0383291,0.0484982)
(-0.0503082,-0.0113764)
(0.0330114,0.145885)
(0.0897551,-0.0956526)
(-0.170096,0.0761366)
(0.165694,0.0446224)
(-0.0963001,-0.259031)
(-0.0956659,0.334916)
(0.306169,-0.0972853)
(-0.308441,-0.0934458)
(0.132052,0.277301)
(0.113141,-0.403843)
(-0.352733,0.283965)
(0.446995,0.0452843)
(-0.314821,-0.327459)
(0.0596819,0.416126)
(0.379397,-0.384557)
(-0.570586,0.0257196)
(0.490543,0.378222)
(-0.0901136,-0.483444)
(-0.319093,0.360995)
(0.519873,-0.0862494)
(-0.464137,-0.274447)
(0.147378,0.543139)
(0.263857,-0.438019)
(-0.428709,0.19492)
(0.416288,0.211539)
(-0.257443,-0.350762)
(-0.187376,0.421019)
(0.321069,-0.261803)
(-0.380615,-0.0836506)
(0.261615,0.227515)
(0.0337658,-0.367695)
(-0.200218,0.138939)
(0.347049,0.0269327)
(-0.165492,-0.108704)
(0.114705,0.208947)
(0.0809202,-0.163321)
(-0.13581,0.13583)
(0.204353,0.0380135)
(-0.107483,-0.126101)
(0.169151,0.10699)
(0.0479307,-0.154051)
(-0.0240402,0.186507)
(0.183603,-0.209411)
(-0.180596,0.105255)
(0.208446,0.121062)
(-0.17817,-0.304521)
(-0.0571909,0.273703)
(0.252664,-0.131566)
(-0.386368,-0.0386906)
(0.326175,0.343509)
(-0.0260687,-0.51596)
(-0.35996,0.427979)
(0.472979,-0.0337095)
(-0.491824,-0.384683)
(0.177077,0.622935)
(0.25059,-0.539796)
(-0.587301,0.183736)
(0.582975,0.300433)
(-0.303702,-0.560782)
(-0.241501,0.617447)
(0.604629,-0.359885)
(-0.73449,-0.205573)
(0.435745,0.627602)
(0.0662365,-0.749098)
(-0.590427,0.471774)
(0.757488,0.0706015)
(-0.537793,-0.560747)
(0.0838337,0.732701)
(0.571795,-0.469681)
(-0.701864,0.00232506)
(0.510018,0.40538)
(-0.163259,-0.589514)
(-0.455899,0.488851)
(0.628626,-0.165649)
(-0.525982,-0.300771)
(0.175426,0.593439)
(0.210606,-0.580053)
(-0.580859,0.145984)
(0.404597,0.204314)
(-0.16956,-0.477971)
(-0.169374,0.330432)
(0.402629,-0.222531)
(-0.397376,-0.234818)
(0.063592,0.457581)
(0.137049,-0.375967)
(-0.328434,0.130276)
(0.287342,0.15404)
(-0.110868,-0.35475)
(-0.0329256,0.231037)
(0.264874,-0.105796)
(-0.184807,-0.0360222)
(0.0610361,0.265514)
(0.158206,-0.198901)
(-0.259631,0.00618362)
(0.126404,0.149433)
(0.0827351,-0.133948)
(-0.221563,0.165671)
(0.105141,0.0236568)
(-0.0268316,-0.111635)
(-0.0973196,0.174532)
(0.176895,-0.0432367)
(-0.152568,-0.099328)
(0.0687971,0.152744)
(0.0548162,-0.106647)
(-0.184782,0.0356693)
(0.179212,0.0891275)
(-0.0338974,-0.108474)
(-0.139276,0.147089)
(0.127067,-0.0994368)
(-0.187396,-0.0068121)
(0.0492439,0.124359)
(0.0479965,-0.0700045)
(-0.119317,0.0443001)
(0.0748997,0.042697)
(-0.0478878,-0.0693035)
(0.0126143,0.0617752)
(0.0666008,-0.0324221)
(-0.0397959,-0.0430021)
(0.0123358,-0.0333233)
(0.0249529,-0.0561657)
(0.0339355,-0.0427885)
(-0.107282,-0.00319481)
(0.0258446,0.0514145)
(0.00591755,-0.178106)
(-0.181245,0.0979872)
(0.235577,0.0402756)
(-0.23504,-0.0641766)
(0.154123,0.143148)
(0.0934868,-0.272532)
(-0.294304,0.144098)
(0.295356,0.0788441)
(-0.231709,-0.281988)
(-0.0290098,0.386881)
(0.240852,-0.209987)
(-0.377971,-0.0468693)
(0.310592,0.310648)
(0.00540829,-0.460987)
(-0.296003,0.41413)
(0.43076,-0.141271)
(-0.440024,-0.199188)
(0.168824,0.532254)
(0.14613,-0.486556)
(-0.556774,0.25156)
(0.54609,0.132148)
(-0.331649,-0.433852)
(0.00152779,0.605575)
(0.355089,-0.464697)
(-0.667754,0.00479031)
(0.532931,0.290694)
(-0.140642,-0.598143)
(-0.310961,0.591787)
(0.607674,-0.284317)
(-0.60177,-0.207685)
(0.38077,0.613042)
(0.130012,-0.74215)
(-0.492834,0.462506)
(0.668278,-0.00913715)
(-0.557727,-0.465458)
(0.0555658,0.731388)
(0.362958,-0.664466)
(-0.670707,0.309305)
(0.587111,0.330902)
(-0.380945,-0.716915)
(-0.118546,0.759482)
(0.555539,-0.475298)
(-0.657568,0.0131836)
(0.543451,0.463209)
(-0.0927992,-0.800263)
(-0.31682,0.579913)
(0.644297,-0.183891)
(-0.760674,-0.293157)
(0.40369,0.630589)
(0.159439,-0.689386)
(-0.572702,0.480832)
(0.692978,0.0634832)
(-0.576597,-0.377053)
(0.126225,0.60023)
(0.377563,-0.584429)
(-0.704288,0.280976)
(0.667203,0.191956)
(-0.352678,-0.616127)
(-0.0555525,0.692495)
(0.481771,-0.445122)
(-0.719662,0.0474892)
(0.605513,0.357278)
(-0.220071,-0.611381)
(-0.253392,0.570235)
(0.605032,-0.342893)
(-0.654226,-0.252472)
(0.299937,0.52964)
(-0.0177994,-0.59228)
(-0.407699,0.387633)
(0.593686,-0.0809793)
(-0.442294,-0.291345)
(0.206301,0.541212)
(0.167565,-0.582513)
(-0.53106,0.331311)
(0.53166,0.117396)
(-0.424525,-0.37123)
(0.0668259,0.602899)
(0.364555,-0.353916)
(-0.595235,0.0837278)
(0.466152,0.24895)
(-0.258602,-0.523315)
(-0.228999,0.506602)
(0.357737,-0.304162)
(-0.506596,-0.0162048)
(0.319813,0.307339)
(-0.11526,-0.43154)
(-0.282646,0.386885)
(0.44796,-0.0739546)
(-0.385096,-0.120152)
(0.223107,0.319928)
(0.0986452,-0.416974)
(-0.288588,0.274278)
(0.264457,0.077652)
(-0.249015,-0.234718)
(0.0975952,0.326347)
(0.138363,-0.342319)
(-0.234774,0.0619946)
(0.233813,0.111397)
(-0.101795,-0.204419)
(-0.119135,0.209295)
(0.213832,-0.0149689)
(-0.193678,-0.0751047)
(0.0704813,0.18685)
(0.0108109,-0.0849209)
(-0.122323,0.0196686)
(0.0844584,0.0197134)
(0.0261974,-0.0835562)
(-0.117208,0.100661)
(0.0466299,0.033536)
(-0.0376816,-0.0831099)
(-0.0180588,0.0550995)
(0.162934,-0.0121889)
(-0.096508,-0.138427)
(-0.0679331,0.216277)
(0.22562,-0.0745659)
(-0.180627,-0.0502596)
(0.252829,0.255687)
(0.0878525,-0.323194)
(-0.288634,0.203943)
(0.306422,-0.117012)
(-0.278607,-0.339674)
(0.0724812,0.434689)
(0.266783,-0.452763)
(-0.454243,0.0976582)
(0.439573,0.249053)
(-0.23484,-0.566532)
(-0.204949,0.542872)
(0.58297,-0.291072)
(-0.680601,-0.118903)
(0.420142,0.536648)
(0.0846272,-0.744927)
(-0.538718,0.502268)
(0.722876,-0.0349264)
(-0.499364,-0.576754)
(0.0188761,0.781432)
(0.431354,-0.604104)
(-0.813449,0.161758)
(0.667016,0.316512)
(-0.297741,-0.733695)
(-0.263089,0.708891)
(0.693081,-0.368766)
(-0.771395,-0.243902)
(0.4978,0.655922)
(0.141368,-0.72552)
(-0.461337,0.540956)
(0.706514,0.025486)
(-0.515104,-0.472781)
(0.0832653,0.627977)
(0.284403,-0.622607)
(-0.569348,0.123789)
(0.580973,0.200816)
(-0.241927,-0.47796)
(-0.148297,0.423626)
(0.391689,-0.232904)
(-0.509788,-0.0769329)
(0.294972,0.361946)
(0.00293159,-0.371813)
(-0.23224,0.264803)
(0.392357,-0.110919)
(-0.289438,-0.074337)
(0.210765,0.190947)
(0.0257139,-0.297637)
(-0.120724,0.110247)
(0.239582,-0.0549345)
(-0.229553,-0.177336)
(0.183573,0.235343)
(-0.0697994,-0.235516)
(-0.109299,0.230616)
(0.210791,-0.131522)
(-0.21128,0.0384893)
(0.240449,0.132211)
(-0.116422,-0.213169)
(-0.088376,0.277245)
(0.152365,-0.143354)
(-0.294812,0.0548897)
(0.251403,0.148994)
(-0.155051,-0.270555)
(-0.171378,0.338391)
(0.256029,-0.193319)
(-0.362533,-0.000880241)
(0.332692,0.226377)
(0.0115728,-0.325534)
(-0.257911,0.305183)
(0.339969,-0.188128)
(-0.398149,-0.0915241)
(0.217261,0.363751)
(0.0152922,-0.396292)
(-0.337852,0.285357)
(0.462498,-0.0980482)
(-0.327288,-0.250137)
(0.117798,0.360466)
(0.158237,-0.433337)
(-0.402185,0.249311)
(0.445134,0.0202723)
(-0.366295,-0.30679)
(0.0684509,0.455863)
(0.250812,-0.33311)
(-0.410394,0.135053)
(0.503679,0.162541)
(-0.308736,-0.397511)
(-0.0626097,0.507957)
(0.32324,-0.296017)
(-0.474419,0.0758038)
(0.414115,0.214508)
(-0.167242,-0.58075)
(-0.158375,0.552532)
(0.429601,-0.207144)
(-0.526216,-0.11154)
(0.337875,0.495818)
(0.0401592,-0.528877)
(-0.340882,0.48957)
(0.485617,-0.132673)
(-0.463306,-0.230591)
(0.185374,0.505797)
(0.0914764,-0.474812)
(-0.480141,0.319401)
(0.492281,0.0472918)
(-0.408932,-0.415179)
(0.0549984,0.517051)
(0.311074,-0.411623)
(-0.557874,0.176616)
(0.451261,0.151035)
(-0.246903,-0.481569)
(-0.061264,0.464966)
(0.312168,-0.322302)
(-0.498254,0.0953217)
(0.384648,0.229901)
(-0.184203,-0.477137)
(-0.162786,0.449883)
(0.410486,-0.255696)
(-0.490775,-0.0738564)
(0.357698,0.348169)
(-0.0600071,-0.475907)
(-0.296414,0.467612)
(0.49271,-0.183612)
(-0.517642,-0.141136)
(0.366598,0.446038)
(0.101808,-0.554502)
(-0.394808,0.365855)
(0.543962,-0.0268288)
(-0.558447,-0.270494)
(0.19157,0.549645)
(0.281782,-0.629964)
(-0.581471,0.318856)
(0.554173,0.153473)
(-0.462023,-0.490713)
(-0.138432,0.688973)
(0.451394,-0.473977)
(-0.648327,0.00484562)
(0.566032,0.350706)
(-0.135581,-0.716002)
(-0.351982,0.720907)
(0.743366,-0.341159)
(-0.668777,-0.272211)
(0.378888,0.687179)
(0.166638,-0.803374)
(-0.684292,0.370693)
(0.732779,0.189521)
(-0.514768,-0.611439)
(-0.00572586,0.735466)
(0.481565,-0.563754)
(-0.780781,0.122613)
(0.564553,0.465309)
