Real	Imaginary
4055eca0	c08c20a0
c09b80a0	c09a1a70
bfb639c0	3ff22640
bfc265c0	c08ee740
c0861f70	bfd40a40
c05540a0	bf2d7080
40aa3aa0	c01f5d40
3e0ccc00	408ee500
bfba8400	40101f80
40929f00	c0112020
3f451800	3ee24500
40511740	4062b240
3fb3e9c0	bfc1ea80
bfd65e80	3ed3a200
c018a0e0	407c95a0
3e702a00	bfa32000
40d8c0c0	405cc840
400840e0	3fc5b880
408fb7f0	be20aa00
bfcccc00	40ade960
bfc05280	40ab8a70
c04b4f80	4006d7e0
bfc34640	40771560
bf362080	bfdbfbc0
bf932340	c052c820
3fc23240	3f15ee80
c00a1d00	406522e0
4088de40	c04426a0
c07ee1a0	3ef3c200
402b87e0	3fd64580
c09f09b0	bf5a2a80
c10d40b0	40e4f790
bf650080	3fce9bc0
3e9b4e00	3fad3c40
40cd47e0	406501a0
40194d20	3f3b2500
c0c150d0	409f5e90
40697020	bf253680
407cdac0	3e35bc00
401f32c0	c0dadc10
3ee43d00	3f7c0e00
411761c8	3fd87400
c0d4c700	c0168a60
bf7d5380	c0a76850
404cb5e0	c0baae30
c035d1c0	c04493e0
4100d700	3f079a80
3e8fce00	40393040
401771a0	c0977ec0
c0bfa6f0	404a6b60
c0834380	bf49e900
bf255c80	bf44cf80
c00ec640	bf445d00
40a02530	3f910440
400b5b40	3eb70900
40782280	c0a89240
40f095e0	c00d5760
c0b72da0	4093dd80
400a5f20	3fb7cf80
bf298f00	40ed4db0
40171e80	c01e0f60
3eac7700	40c19010
3f848b80	bfcae280
3fcb7e80	bf7ecb80
3fa11500	40876ce0
c0930d90	bf876d40
4004aa00	401660a0
c109bfe8	3fee8680
41085b90	3fa27200
3dde0000	c03b8460
3f353880	3f4a2600
c10214f0	c08be620
c0a759e0	c0581cc0
3ffd90c0	41069778
3fd6db40	c0ab0eb0
3e913600	40bdeff0
c0e18f90	c02a2320
40ca5f30	406e18c0
3f673f00	c0217c40
3f02b580	40068460
400202c0	3f4c8580
40c958d0	3fe04400
bfa6c7c0	c06ef740
3f2ad100	40b87ab0
400364a0	410000c0
c0814170	3fb75500
bfa5b540	404d75a0
be0a2400	3f011800
beb56b00	4009d620
be208c00	c0ecc1c0
c09eec00	3feeb8c0
bfad6540	4094eae0
3e0eb200	c08a40a0
3fa09c80	c0353560
be35a200	3fa97e40
3f946440	c0990c10
3fa14480	40904d50
4099a460	40660160
3f653400	40e8a770
c0c55050	bf44f280
bf3b3180	3e61d600
c00fbd40	c0260a40
c08ebee0	c053e300
3f674580	404cb4a0
c0bd2470	41100300
412ff6a0	40b2b180
c00c3de0	c09fde60
3f7a6e80	c01e8020
3fc9e440	c0394820
bf3da600	40497460
c0ea6980	40b7c9c0
c02ba5c0	c0839960
bf894100	3ebe8700
c0228500	beddd800
c0f6e5a0	40092020
c0ccb760	c0086620
c0d58120	404c2b20
c088e330	c09e8be0
40b1b220	c03d4fe0
c0afdb00	bfc7e900
409b69f0	3f7ffa00
c0a2bdc0	bf843900
c103ae58	bf0e8c00
4049aac0	be85fd00
40cc22a0	3ee40500
401f53e0	400502c0
bfb3df00	40cf1060
c130dea0	3fd25480
c0b36b50	4077e0a0
bffaefc0	3d853000
4052b000	3f4a8b00
40c8ab00	bec09f00
40c20700	c08380c0
3f142380	400110e0
409a16d0	c0bbba80
c0cf38e0	c0b50e20
40eae980	401d6a00
c02f1000	40a6a6d0
40be7440	3fb19dc0
3f12a280	c0109280
c06a7e40	c103e798
3fb7a140	40280f00
c0297900	bfab8b40
bc034000	40012400
bf8711c0	c0abf450
c02f9e60	c0affd90
c0afe800	c0a43680
c0843bd0	bffd0340
3ff95340	41029828
bfd4a1c0	c05de5e0
c1197c10	3fac9540
3fa32b80	4020af20
bfffb080	c06595a0
4013c7c0	c09964f0
3f328f00	41043440
c0bc5830	beb1de00
c0575dc0	bf08a480
c0096040	3fbef8c0
40e2bc20	c0b1fe80
3e10a800	c04bad20
c08b0bd0	3fb0bdc0
c059be00	c027ba80
40170b80	c031c520
be043a00	c06d1da0
c0e18300	c013cb20
c0246780	3fdf1d80
3ffcfe80	be935100
c00243e0	3fa81280
40af34e0	3efb5300
bfc56100	bf83d2c0
41112270	c00fccc0
3ec3d300	40ad4af0
bf1a4f80	403fc9e0
404be160	40f85a90
bfebdbc0	bd4b8000
4102cb08	40a9a4b0
408b5ee0	3eebde00
4022c900	c016bd00
c129d868	3fdcd200
beb58500	3fb3c000
c0ef0cf0	403c5800
3eaf2b00	c0ac1350
4018d9a0	bf785f80
c0f979a0	40924840
4016df40	c0136d40
c0378960	40b35e10
c092f890	c1086d20
bf538580	c0d5dc00
40cbf730	be56a600
bf8fb9c0	402360a0
c0f23e90	bc3e0000
c04d36a0	c0dfed20
bf79cb00	3fbe3d00
403a0e80	c0740b80
c0bc8e40	402dade0
41039070	3ed3cd00
c0d43700	3e911900
bfafa040	4024fb20
3e54ce00	3fd01c40
bfc42a40	40f72c00
c116c588	402bba60
c0100640	40b6f990
402a2900	400f3280
3f1e5200	c0ed74f0
4090fe20	c0988af0
3fa7d400	bf992040
c0aaa120	406f7b20
c0e797e0	c0d0cef0
3fd89d80	bf227e00
c106bd40	bfd019c0
40ae3950	bfcc34c0
c00d0080	bf70f600
bf3b2b80	c07b18a0
c0793220	bf2a0680
c0400e60	40372a20
40e45da0	bfe52340
3fe9a240	3fcf68c0
3f144980	3f6be600
be37be00	409e5940
c0b9ed40	be059200
c011d860	bff0ce00
40b70cc0	c02b9a80
40671960	bfa2c6c0
c0c4e190	c1128ec8
c09a5910	3fbc3540
407dfb20	bfb76380
c01c8940	bfde8f40
be423e00	40815140
3f6cca80	be965800
c09b6320	3e4aae00
